verb;semantic;emotion
спросить;question;neutral
обратиться;speech;neutral
замечать;speech;neutral
объяснить;speech;neutral
начать;speech;neutral
подумать;thought;neutral
рассказывать;speech;neutral
воззвать;speech;loud
рассказать;speech;neutral
подуматься;thought;neutral
прервать;action;neutral
усмехнуться;action;smile
вымолвить;speech;neutral
вмешаться;action;neutral
возмутиться;feeling;angry
голосить;speech;loud
воскликнуть;speech;loud
ужаснуться;feeling;fear
заторопиться;movement;neutral
закричать;speech;loud
перебить;action;neutral
причитывать;speech;sad
задуматься;thought;neutral
заметить;speech;neutral
удивиться;feeling;surprise
посоветовать;speech;neutral
присовокупить;speech;neutral
согласиться;action;yes
улыбнуться;action;smile
говорить;speech;neutral
вскочиться;movement;neutral
огрызаться;speech;angry
пояснить;speech;neutral
произнести;speech;neutral
прибавить;speech;neutral
продолжить;speech;neutral
нахмуриться;action;angry
доносить;action;neutral
обидеться;feeling;sad
соглашаться;action;yes
протянуть;speech;neutral
твердить;speech;neutral
окликнуть;speech;loud
решить;action;neutral
поправить;action;neutral
поддакнуть;action;yes
сказать;speech;neutral
зашуметь;action;loud
повторить;speech;neutral
продолжать;speech;neutral
огрызнуться;speech;angry
разнестись;speech;loud
раздаваться;speech;loud
крикнуть;speech;loud
распевать;action;loud
простонать;speech;sad
взмахнуть рука;action;neutral
отвечать;speech;neutral
начало;speech;neutral
промолвить;speech;neutral
огорчить;action;sad
спорить;speech;angry
кричать;speech;loud
заявить;speech;neutral
подбежать;movement;neutral
думать;thought;neutral
отозваться;speech;neutral
вскричать;speech;loud
доложить;speech;neutral
пробормотать;speech;quiet
откликнуться;speech;neutral
обрадовать;action;happy
подтвердить;action;yes
прошептать;speech;quiet
возразить;speech;no
примолвить;speech;neutral
поощрять;speech;yes
спрашивать;question;neutral
вздохнуть;action;said
упрекнуть;speech;no
рассмеяться;action;laugh
бормотать;speech;quiet
проворчать;speech;angry
вспомнить;action;neutral
перебивать;action;neutral
добавить;speech;neutral
забормотать;action;quiet
зазывать;speech;loud
просить;action;neutral
пуститься;action;neutral
подхватить;action;yes
уверять;action;neutral
солгать;action;neutral
объявить;action;neutral
бранить;action;angry
захохотать;action;laugh
предложить;speech;neutral
провозгласить;speech;loud
вставить;action;neutral
прохрипеть;action;neutral
оживиться;feeling;happy
напомнить;action;neutral
ответить;speech;neutral
обращаться;action;neutral